IMDESC	ITMDSC	PRICCD	IMLIST	IMTCST	GROUP	IMSTYL	IMRANK	IMGEN	IMXRBC	AMNAME	ITEM	IMMCST
EXT PROTECTION DISPOSER 3 YR   	                                        	0	79	31	82	AB	7	90001505	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RL3D                                	31
EXT PROTECTION DISPOSER 5 YR   	                                        	0	119	53	82	AB	7	90001513	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RL5D                                	53
EXT PROTECTION D/W 2 YR        	                                        	0	99	26	82	AB	7	90001521	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RK2E                                	26
EXT PROTECTION D/W 3 YR        	                                        	0	149	39	82	AB	7	90001539	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RK3E                                	39
EXT PROTECTION D/W 5 YR        	                                        	0	199	66	81	SC	7	90001547	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RK5E                                	66
EXT PROTECTION TPLD/WSHR 2 YR  	                                        	0	79	20	82	AB	7	90001555	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RS2D                                	20
EXT PROTECTION TPLD/WSHR 3 YR  	                                        	0	119	38	82	AB	7	90001563	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RS3D                                	38
EXT PROTECTION TPLD/WSHR 5 YR  	                                        	0	169	61	82	AB	7	90001571	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RS5D                                	61
EXT PROTECTION FRNTLD/WSHR 2 YR	                                        	0	79	20	82	AB	7	90001589	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RT2D                                	20
EXT PROTECTION FRNTLD/WSHR 3 YR	                                        	0	119	38	82	AB	7	90001597	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RT3D                                	38
EXT PROTECTION FRNTLD/WSHR 5 YR	                                        	0	169	61	82	AB	7	90001604	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RT5D                                	61
EXT PROTECTION ELEC/DRYER 2 YR 	                                        	0	79	20	82	AB	7	90001612	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RU2D                                	20
EXT PROTECTION ELEC/DRYER 3 YR 	                                        	0	119	31	82	AB	7	90001620	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RU3D                                	31
EXT PROTECTION ELEC/DRYER 5 YR 	                                        	0	169	53	82	AB	7	90001638	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RU5D                                	53
